zavodnik:_obj;trat;cas;datum;id_zaznamu;id_zaodnika
;okruh 4 testovací trail;01:40,2;20.09.2025;;jirvas
;okruh 4 testovací trail;01:26,0;20.09.2025;;tommrk
;okruh 4 testovací trail;01:32,8;20.09.2025;;tomland
;okruh 4 testovací trail;01:34,9;20.09.2025;;jonvac
;okruh 4 testovací trail;01:37,9;20.09.2025;;esttom
;okruh 4 testovací trail;01:44,4;20.09.2025;;davkra
;okruh 4 testovací trail;01:45,2;20.09.2025;;samcub
;okruh 4 testovací trail;01:45,6;20.09.2025;;jpnbou
;okruh 4 testovací trail;01:47,0;20.09.2025;;adamul
;okruh 4 testovací trail;01:50,3;20.09.2025;;olihab
;okruh 4 testovací trail;01:51,8;20.09.2025;;felnyk
;okruh 4 testovací trail;01:56,2;20.09.2025;;vilmur
;okruh 4 testovací trail;01:59,0;20.09.2025;;vitjnu
;okruh 4 testovací trail;02:03,8;20.09.2025;;lukbre
;okruh 4 testovací trail;02:20,6;20.09.2025;;jakhan
;okruh 4 testovací trail;;;;davdyr
;okruh 4 testovací trail;;;;bonmar
;okruh 4 testovací trail;;;;antvlc
;okruh 4 testovací trail;01:40,0;10.09.2025;;antnov
;okruh 4 testovací trail;02:10,0;10.09.2025;;niknov
;okruh 4 testovací trail;01:45,9;10.09.2025;;tobcec
;okruh 4 testovací trail;02:06,1;10.09.2025;;ondhlav
;okruh 4 testovací trail;02:52,5;10.09.2025;;adacer
;okruh 4 testovací trail;03:03,1;10.09.2025;;hugvei
